#Item	Label	Description	Site on enwiki
Q83891	Sassanid Empire	last Iranian empire before the rise of Islam	Sasanian Empire
Q83958	Macedonian Empire	ancient kingdom on the northern periphery of Classical Greece	Macedonia (ancient kingdom)
Q93180	Seleucid Empire		Seleucid Empire
Q110888	Kingdom of Essex		Kingdom of Essex
Q128938	Shang dynasty	kingdom of ancient China	Shang dynasty
Q129260	Gayer-Anderson cat	an Ancient Egyptian statue of a cat	Gayer-Anderson cat
Q130257	Ludovisi Battle sarcophagus		Ludovisi Battle sarcophagus
Q130263	Janissary		Janissaries
Q131976	Ptolemaic dynasty	Macedonian Greek royal family which ruled the Ptolemaic Empire in Egypt	Ptolemaic dynasty
Q132323	Eurytios Krater		Eurytios Krater
Q140446	Zagwe dynasty		Zagwe dynasty
Q142417	Kingdom of Valencia	kingdom at the Iberian Peninsula existing between 1238-1707	Kingdom of Valencia
Q144654	Tassilo Chalice		Tassilo Chalice
Q148499	Margraviate of Brandenburg		Margraviate of Brandenburg
Q149747	Adiabene	ancient kingdom in Assyria	Adiabene
Q151047	The Birth of Venus	painting by Sandro Botticelli	The Birth of Venus (Botticelli)
Q152420	Guelders		Guelders
Q155361	Rouran Khaganate		Rouran Khaganate
Q155376	Lorenzo Monaco	Italian painter	Lorenzo Monaco
Q156020	State of the Teutonic Order		State of the Teutonic Order
Q156199	Electorate of Saxony	State of the Holy Roman Empire, established when Emperor Charles IV raised the Ascanian duchy of Saxe-Wittenberg to the status of an Electorate 1356	Electorate of Saxony
Q157070	County of Flanders		County of Flanders
Q157082	Oaths of Strasbourg		Oaths of Strasbourg
Q157109	Burgundian Netherlands	the Netherlands from 1384 to 1482	Burgundian Netherlands
Q157727	Ifat Sultanate		Sultanate of Ifat
Q159856	Duchy of Brabant		Duchy of Brabant
Q160307	Fatimid caliphate		Fatimid Caliphate
Q160440	Crimean Khanate		Crimean Khanate
Q162754	Chancellor of the Duchy of Lancaster	ministerial office in Her Majesty's Government	Chancellor of the Duchy of Lancaster
Q163726	Holstein-Rendsburg		Holstein-Rendsburg
Q164092	Duchy of Saxony		Duchy of Saxony
Q165154	Kingdom of Sardinia	former Italian state (1324–1861)	Kingdom of Sardinia
Q170180	Margraviate of Meissen		Margraviate of Meissen
Q170390	County of Oldenburg		County of Oldenburg
Q170770	Grand Duchy of Moscow		Grand Duchy of Moscow
Q173065	Kingdom of Naples	former state (1282–1816), comprising the southern part of the Italian Peninsula, the remainder of the old Kingdom of Sicily after the secession of the island of Sicily	Kingdom of Naples
Q173282	Khazars		Khazars
Q175636	treaty of Corbeil	1258 treaty between Aragon and France	Treaty of Corbeil (1258)
Q178084	Ilkhanate		Ilkhanate
Q178085	Principality of Zeta	former principality in Eastern/Southern Europe	Principality of Zeta
Q178897	Latin Empire		Latin Empire
Q178913	empire of Trebizond		Empire of Trebizond
Q179293	Kingdom of Castile		Kingdom of Castile
Q180114	Ayyubid dynasty		Ayyubid dynasty
Q181254	Empire of Nicea		Empire of Nicaea
Q181752	Pechenegs		Pechenegs
Q184536	Mali Empire		Mali Empire
Q185392	Borghese Gladiator		Borghese Gladiator
Q187684	Despotate of Epirus		Despotate of Epirus
Q188586	Kingdom of Sicily	former state (1130–1816)	Kingdom of Sicily
Q189178	Nara period		Nara period
Q189225	Zealotry		Zealots (Judea)
Q189545	Zengid dynasty		Zengid dynasty
Q190513	Khanate of Sibir		Khanate of Sibir
Q193152	Great Moravia	9th century Slavic state	Great Moravia
Q194104	Grabow Altarpiece		Grabow Altarpiece
Q195972	Kingdom of Kartli	(1484–1762)	Kingdom of Kartli (1484–1762)
Q197598	Zheng	ancient state in China	Zheng (state)
Q199443	Ghurid Dynasty		Ghurid dynasty
Q199688	Almohad		Almohad Caliphate
Q200464	Portuguese Empire	global empire centered in Portugal	Portuguese Empire
Q202687	Songhai Empire	former state located in western Africa	Songhai Empire
Q203817	First Bulgarian Empire		First Bulgarian Empire
Q204221	Book of Kells	illuminated Gospel book	Book of Kells
Q204920	Crown of Aragon		Crown of Aragon
Q205718	Zirid dynasty		Zirid dynasty
Q206279	Waalo		Waalo
Q207044	Ziyarid dynasty		Ziyarid dynasty
Q207521	Abyssinia	1137-1974 empire in East Africa	Ethiopian Empire
Q207600	Aghlabids	Arab dynasty of emirs	Aghlabids
Q208188	Moche	Wikipedia disambiguation page	Moche culture
Q208404	Kingdom of Armenia	ancient state of Armenia	Kingdom of Armenia (antiquity)
Q210163	Astrakhan Khanate	medieval state	Astrakhan Khanate
