Papyrus 42	manuscript	550	650	16.3725042	48.2083537	null
Barberini Faun	sculpture	-300	-200	11.5658308416327	48.14653905	null
Duchy of Amalfi	duchy	839	1037	14.604141	40.634808	null
Anhalt-Bernburg	null	1252	1863	11.7356549	51.793887	Blason Duché d'Anhalt.svg
Duchy of Saxe-Wittenberg	null	1296	1356	12.6666	51.81666	null
Duchy of Swabia	former country	917	1268	10.5	48.33333	Hohenstaufen family arms.svg
March of Styria	null	1035	1135	15.16667	47.25	null
Landgraviate of Hesse	countship	1264	1567	9.4762981	51.3090209	null
Duchy of Pomerania	null	1121	1637	14.5509784	53.4302122	POL księstwo pomorskie COA.svg
Prince-Bishopric of Münster	null	1180	1802	7.61330165026119	51.9501317	Wappen Bistum Münster.png
House of Nassau-Weilburg	principality	1344	1806	10.4234469	51.0834196	Blason Nassau-Weilbourg.svg
Duchy of Limburg	duchy	1065	1795	4.8708	53.1567	Modern Arms of Limburg.svg
Madonna of the Carnation	painting	1479	1579	11.569970904087	48.1482861	null
Later Baekje	null	892	936	127.1480657	35.8242715	null
Hours of Maria d'Harcourt	book of hours	1415	1515	13.3915285439097	52.51814095	null
Wied	principality	1093	1698	7.4663112	50.4302589	Wied-Grafschaft.PNG
Taebong	null	901	918	126.5595967	37.973836	null
The Last Judgment (Memling)	painting	1467	1567	18.6469043729646	54.34555525	null
Duchy of Carinthia	null	976	1335	14.3613196	46.7672516	Kaernten shield CoA.svg
Sayn-Wittgenstein	noble family	1384	1607	8.37683040923173	51.0396597	null
Hohenlohe	noble family	1450	1806	9.5023324	49.200896	Wappen Hohenlohe (Adelsgeschlecht).svg
County of Nice	countship	1388	1848	1.8883335	46.603354	Blason06.PNG
Dwelling in the Fuchun Mountains	painting	1348	1448	121.548652	25.1020073	null
Episcopal principality of Utrecht	principality	1024	1528	5.53460738161551	52.2379891	Wappen Bistum Utrecht.png
Along the River During the Qingming Festival	panoramic painting	1085	1185	1.9940795	7.1857874	null
Madonna del Parto	fresco	1455	1555	12.2272383	42.2397836	null
Allegories (Bellini)	cycle of paintings	1490	1590	12.3282997	45.431244	null
Muzaffarids (Gujarat)	dynasty	1391	1491	72	23	null
Bartolini Salimbeni Annunciation	painting	1420	1520	11.4849039	46.5222277	null
Portrait of Caracalla	sculpture	211	311	12.454661770501	41.90496095	null
Christ Crowned with Thorns (Bosch, El Escorial)	painting	1495	1595	-4.1478695	40.5890758	null
Portrait of Luca Pacioli	painting	1495	1595	14.2507827	40.8672819	null
Hwicce	null	577	677	-2.2216009	52.1918287	null
County of Manderscheid	noble family	1000	1488	6.8123398	50.0925479	Armoiries d'Erpeldange.svg
Ghent Altarpiece	painting	1432	1532	3.7271593147338	51.05298865	null
David (Donatello)	statue	1430	1530	12.7759834	41.6821627	null
Supreme Order of Christ	order	1319	1419	12.4528349	41.9034912	null
Lamentation over the Dead Christ (Botticelli)	painting	1495	1595	11.569970904087	48.1482861	null
Nassau-Siegen	null	1303	1743	6.1396897	51.785043	null
Portrait of a Young Man (Botticelli, Pitti Palace)	painting	1470	1570	11.2502961	43.764733	null
Golden Ambrosian Republic	null	1447	1450	9.1905368	45.466797	null
Hafsid dynasty	dynasty	1229	1574	9.400138	33.8439408	null
Kediri Kingdom	null	1045	1221	112.006239	-7.8136008	null
Jolof Empire	former country	1350	1549	-15.1143838	15.3953336	null
Hours of Jean de Boucicaut	book of hours	1408	1508	2.31054444858627	48.87545015	null
Allegory (Filippino Lippi)	painting	1498	1598	-46.6819643	-23.6140806	null
Taifa of Orihuela	Taifa	1239	1249	-0.946613	38.0906911	null
Duchy of Mantua	null	1273	1797	-75.16851	39.76189	null
Portuguese Gold Coast	null	1482	1642	-1.34814843305208	5.08270245	Coat of arms of Portugal (1640).svg
Venus de' Medici	sculpture	-50	50	-46.6819643	-23.6140806	null
County of Zweibrücken	null	1182	1394	7.36977	49.24686	null
Arrotino	sculpture	-100	0	-46.6819643	-23.6140806	null
Saint George and the Dragon (Uccello)	painting	1470	1570	-0.128558502487114	51.50882525	null
Later Liang (Five Dynasties)	Chinese dynasty	907	923	112.4209629	34.6556873	null
Kingdom of Kongo	former country	1395	1914	13.3194021	-4.4447873	Kongo coat of arms.JPG
Battersea Shield	sculpture	-350	-250	-0.149975	51.4854944	null
Bentheim-Tecklenburg	noble family	1277	1377	10.4234469	51.0834196	null
Waldburg-Trauchburg	null	1424	1772	10.4234469	51.0834196	null
Principality of Brunswick-Wolfenbüttel	principality	1269	1815	10.54095	52.16442	null
Prince of Asturias	null	1388	1488	-5.86112	43.36662	null
Qasim Khanate	null	1452	1681	41.3951798	54.9396919	null
Ran Min	human	350	352	93.7874406	18.6252772	null
Kingdom of Majorca	former country	1231	1715	3.02004	39.61362	Coat of Arms of the Kingdom of Majorca and the Balearic Islands (14th-20th Centuries).svg
Patria del Friuli	null	1077	1445	13	46.16667	null
Deheubarth	null	920	1197	-4.01882308451788	51.87689875	Coat of arms of Deheubarth.svg
Ince Hall Madonna	painting	1433	1533	144.968057772273	-37.8225995	null
Rohan Hours	illuminated manuscript	1430	1530	2.3733707	48.8343173	null
Madonna at the Fountain	painting	1439	1539	4.35790140841528	50.8417252	null
Ayutthaya Kingdom	former country	1350	1767	100.5722073	14.3560372	null
Danishmends	former country	1071	1178	37.013697	39.749781	null
Mamluk Dynasty (Delhi)	dynasty	1206	1290	77.2272603	28.6572914	null
Lan Xang	former country	1354	1707	102.135898	19.8887438	null
Doge of Venice	head of state	697	797	-90.17747	38.70636	null
Kara-Khitan Khanate	null	1124	1218	75.2480499	42.7464049	null
Princedom of Albania	null	1368	1392	20	41	null
Roman Catholic Diocese of Sion	diocese	999	1798	7.3588795	46.2311749	Wappen Bistum Sitten.png
Wells (UK Parliament constituency)	constituency of the United Kingdom	1295	1395	-3.2765753	54.7023545	null
Northern Wei	null	386	535	75.2789255	26.0162018	null
County of Wernigerode	countship	1121	1429	10.78216	51.83652	null
House of Henneberg	noble family	1037	1660	12.48499	41.8925	Hennenberg ZW.png
Muzaffarids (Iran)	former country	1314	1393	53	32	null
Lý dynasty	dynasty	1009	1225	149.072885	-35.252123	null
Serbian Despotate	null	1402	1537	20.3795639637002	44.68051	null
Holstein-Pinneberg	countship	1290	1640	9.6194579	53.8110548	null
Warsangali Sultanate	sultanism	1218	1886	48.1967	11.1595	null
Scandinavian York	state	866	954	-1.0814174	53.9593817	null
Principality of Novgorod-Seversk	null	1185	1285	33.2615	52.00577	null
Lord Privy Seal	null	1307	1407	-3.2765753	54.7023545	null
Wei (state)	former country	403	503	11.0647688	48.6145053	null
Khilji dynasty	dynasty	1290	1320	77.2272603	28.6572914	null
Taifa of Murcia	null	1011	1266	-1.13004	37.98704	null
